order,family,genus,species,iucn2020_binomial,phylacine_binomial,adult_mass_g,brain_mass_g,adult_body_length_mm,adult_forearm_length_mm,max_longevity_d,maturity_d,female_maturity_d,male_maturity_d,age_first_reproduction_d,gestation_length_d,teat_number_n,litter_size_n,litters_per_year_n,interbirth_interval_d,neonate_mass_g,weaning_age_d,weaning_mass_g,generation_length_d,dispersal_km,density_n_km2,hibernation_torpor,fossoriality,home_range_km2,social_group_n,dphy_invertebrate,dphy_vertebrate,dphy_plant,det_inv,det_vend,det_vect,det_vfish,det_vunk,det_scav,det_fruit,det_nect,det_seed,det_plantother,det_diet_breadth_n,trophic_level,foraging_stratum,activity_cycle,freshwater,marine,terrestrial_non-volant,terrestrial_volant,upper_elevation_m,lower_elevation_m,altitude_breadth_m,island_dwelling,island_endemicity,disected_by_mountains,glaciation,biogeographical_realm,habitat_breadth_n
Rodentia,Muridae,Abditomys,latidens,Abditomys latidens,Abditomys latidens,268.09,2.91,228,NA,971.896,NA,124.913,NA,166.631,35.373,NA,2.328,3.686,55.581,NA,27.621,NA,649.101,0.514,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1,Ar,1,0,0,1,0,NA,NA,NA,NA,Occurs only on isolated islands,NA,NA,Indomalayan,1
Rodentia,Muridae,Abeomelomys,sevia,Abeomelomys sevia,Abeomelomys sevia,57.89,1.49,158.645,NA,1186.332,NA,167.752,NA,194.735,36.734,4,1,2.362,90.95,NA,36.87,NA,745.935,0.221,NA,0,2,NA,NA,19,3,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,G,1,0,0,1,0,3100,1400,1700,0,Occurs on large land bridge islands,0,0,Australasian,2
Rodentia,Cricetidae,Abrawayaomys,chebezi,Abrawayaomys chebezi,Not recognised,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,Neotropical,1
Rodentia,Cricetidae,Abrawayaomys,ruschii,Abrawayaomys ruschii,Abrawayaomys ruschii,62.99,1.161,169.117,NA,1023.801,NA,85.15,NA,113.733,25.626,NA,3.843,3.261,35.812,NA,23.94,NA,525.742,0.232,NA,0,1,NA,NA,11,1,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,G,2,0,0,1,0,NA,NA,NA,0,Occurs on mainland,0,0,Neotropical,1
Rodentia,Abrocomidae,Abrocoma,bennettii,Abrocoma bennettii,Abrocoma bennettii,265.5,4.219,250,NA,851.667,NA,244.685,NA,317.485,98.875,NA,3,2,115.543,NA,40.988,NA,1009.175,0.511,102.5,0,2,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1,G,1,0,0,1,0,4000,0,4000,0,Occurs on mainland,0,0,Neotropical,2
Rodentia,Abrocomidae,Abrocoma,boliviensis,Abrocoma boliviensis,Abrocoma boliviensis,158,3.145,198.49,NA,1151.704,NA,236.466,NA,314.574,97.008,NA,2.591,2.094,104.844,NA,32.992,NA,865.002,0.384,NA,0,1,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1,G,1,0,0,1,0,2270,1800,470,NA,Occurs on mainland,NA,NA,Neotropical,2
Rodentia,Abrocomidae,Abrocoma,budini,Abrocoma budini,Abrocoma budini,221.82,3.986,201,NA,395.417,NA,277.442,NA,352.656,112.269,NA,1.995,1.869,127.351,12.755,41.966,NA,1084.888,0.463,NA,0,2,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,G,1,0,0,1,0,3000,3000,0,NA,Occurs on mainland,NA,NA,Neotropical,2
Rodentia,Abrocomidae,Abrocoma,cinerea,Abrocoma cinerea,Abrocoma cinerea,221.82,3.239,201,NA,395.417,NA,251.621,NA,330.572,112.269,NA,1.995,1.923,119.793,12.755,39.992,NA,1053.426,0.463,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1,G,1,0,0,1,0,5000,3700,1300,0,Occurs on mainland,1,0,Neotropical,2
Rodentia,Abrocomidae,Abrocoma,famatina,Abrocoma famatina,Abrocoma famatina,221.82,3.225,201,NA,395.417,NA,255,NA,333.157,112.269,NA,1.995,1.918,120.019,12.755,39.511,NA,1051.406,0.463,NA,0,2,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,G,1,0,0,1,0,NA,3800,NA,NA,Occurs on mainland,NA,NA,Neotropical,2
Rodentia,Abrocomidae,Abrocoma,shistacea,Abrocoma shistacea,Abrocoma shistacea,221.82,3.208,201,NA,395.417,NA,239.332,NA,318.804,112.269,NA,1.995,1.97,114.127,12.755,37.684,NA,1025.361,0.463,NA,0,2,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,G,1,0,0,1,0,2900,1100,1800,NA,Occurs on mainland,NA,NA,Neotropical,2
Rodentia,Abrocomidae,Abrocoma,uspallata,Abrocoma uspallata,Abrocoma uspallata,164.279,2.997,198.38,NA,1429.837,NA,243.084,NA,318.923,97.388,NA,2.556,2.053,107.629,NA,33.016,NA,873.351,0.393,NA,0,1,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,G,1,0,0,1,0,2150,1850,300,NA,Occurs on mainland,NA,NA,Neotropical,3
