iucn2020_binomial,input_name
Alouatta arctoidea,Alouatta arctoidea
Alouatta arctoidea,Alouatta seniculus
Alouatta belzebul,Alouatta belzebul
Alouatta caraya,Alouatta caraya
Alouatta discolor,Alouatta belzebul
Alouatta discolor,Alouatta discolor
Alouatta guariba,Alouatta guariba
Alouatta juara,Alouatta juara
Alouatta juara,Alouatta seniculus
Alouatta macconnelli,Alouatta macconnelli
Alouatta nigerrima,Alouatta nigerrima
Alouatta palliata,Alouatta coibensis
Alouatta palliata,Alouatta palliata
Alouatta pigra,Alouatta pigra
Alouatta puruensis,Alouatta puruensis
Alouatta puruensis,Alouatta seniculus
Alouatta sara,Alouatta sara
Alouatta seniculus,Alouatta seniculus
Alouatta ululata,Alouatta belzebul
Alouatta ululata,Alouatta ululata
Alticola albicaudus,Alticola albicaudus
Alticola argentatus,Alticola argentatus
Alticola barakshin,Alticola barakshin
Alticola lemminus,Alticola lemminus
Alticola macrotis,Alticola macrotis
Alticola montosa,Alticola montosa
Alticola olchonensis,Alticola olchonensis
Alticola roylei,Alticola roylei
Alticola semicanus,Alticola semicanus
Alticola stoliczkanus,Alticola stoliczkanus
Alticola strelzowi,Alticola strelzowi
Alticola tuvinicus,Alticola tuvinicus
Amblysomus corriae,Amblysomus corriae
Amblysomus hottentotus,Amblysomus hottentotus
Amblysomus marleyi,Amblysomus marleyi
Amblysomus robustus,Amblysomus robustus
Amblysomus septentrionalis,Amblysomus septentrionalis
Ametrida centurio,Ametrida centurio
Ammodillus imbellis,Ammodillus imbellis
Ammodorcas clarkei,Ammodorcas clarkei
Ammospermophilus harrisii,Ammospermophilus harrisii
Ammospermophilus interpres,Ammospermophilus interpres
Ammospermophilus leucurus,Ammospermophilus insularis
Ammospermophilus leucurus,Ammospermophilus leucurus
Ammospermophilus nelsoni,Ammospermophilus nelsoni
Ammotragus lervia,Ammotragus lervia
Amorphochilus schnablii,Amorphochilus schnablii
Amphinectomys savamis,Amphinectomys savamis
Anathana ellioti,Anathana ellioti
Andalgalomys olrogi,Andalgalomys olrogi
Andalgalomys olrogi,Andalgalomys roigi
Andalgalomys pearsoni,Andalgalomys pearsoni
Andinomys edax,Andinomys edax
Anisomys imitator,Anisomys imitator
Anomalurus beecrofti,Anomalurus beecrofti
Anomalurus derbianus,Anomalurus derbianus
Anomalurus pelii,Anomalurus pelii
Anomalurus pusillus,Anomalurus pusillus
Anonymomys mindorensis,Anonymomys mindorensis
Anotomys leander,Anotomys leander
Anoura aequatoris,Anoura aequatoris
Anoura aequatoris,Anoura caudifer
Anoura cadenai,Anoura cadenai
Anoura cadenai,Anoura caudifer
Anoura carishina,Anoura geoffroyi
Anoura caudifer,Anoura caudifer
Anoura cultrata,Anoura cultrata
Anoura fistulata,Anoura fistulata
Anoura geoffroyi,Anoura geoffroyi
Anoura latidens,Anoura latidens
Anoura luismanueli,Anoura luismanueli
Anoura peruana,Anoura geoffroyi
Anoura peruana,Anoura peruana
Anourosorex assamensis,Anourosorex assamensis
Anourosorex schmidi,Anourosorex schmidi
Anourosorex squamipes,Anourosorex squamipes
Anourosorex yamashinai,Anourosorex yamashinai
Antechinomys laniger,Antechinomys laniger
Antechinus adustus,Antechinus adustus
Antechinus agilis,Antechinus agilis
Antechinus bellus,Antechinus bellus
Antechinus flavipes,Antechinus flavipes
Antechinus godmani,Antechinus godmani
Antechinus leo,Antechinus leo
Antechinus minimus,Antechinus minimus
Antechinus stuartii,Antechinus stuartii
Antechinus subtropicus,Antechinus subtropicus
Antechinus swainsonii,Antechinus swainsonii
Anthops ornatus,Anthops ornatus
Antidorcas marsupialis,Antidorcas marsupialis
Antilocapra americana,Antilocapra americana
Antilope cervicapra,Antilope cervicapra
Antrozous pallidus,Antrozous pallidus
Aonyx capensis,Aonyx capensis
Aonyx cinereus,Aonyx cinerea
Aonyx cinereus,Aonyx cinereus
Aonyx congicus,Aonyx capensis
Aonyx congicus,Aonyx congicus
Aotus azarae,Aotus azarae
Aotus brumbacki,Aotus brumbacki
Aotus brumbacki,Aotus lemurinus
Aotus griseimembra,Aotus griseimembra
Aotus griseimembra,Aotus lemurinus
Aotus jorgehernandezi,Aotus jorgehernandezi
Aotus lemurinus,Aotus hershkovitzi
Aotus lemurinus,Aotus lemurinus
Aotus miconax,Aotus miconax
Aotus nancymaae,Aotus nancymaae
Aotus nigriceps,Aotus nigriceps
Aotus trivirgatus,Aotus trivirgatus
Aotus vociferans,Aotus vociferans
Aotus zonalis,Aotus lemurinus
Aotus zonalis,Aotus zonalis
Aplodontia rufa,Aplodontia rufa
Apodemus agrarius,Apodemus agrarius
Apodemus alpicola,Apodemus alpicola
Apodemus argenteus,Apodemus argenteus
Apodemus avicennicus,Apodemus avicennicus
Apodemus chevrieri,Apodemus chevrieri
Apodemus draco,Apodemus draco
Apodemus epimelas,Apodemus epimelas
Apodemus flavicollis,Apodemus flavicollis
Apodemus gurkha,Apodemus gurkha
Apodemus hyrcanicus,Apodemus hyrcanicus
Apodemus latronum,Apodemus latronum
Apodemus mystacinus,Apodemus mystacinus
Apodemus pallipes,Apodemus pallipes
Apodemus peninsulae,Apodemus peninsulae
Apodemus ponticus,Apodemus ponticus
Apodemus rusiges,Apodemus rusiges
Apodemus semotus,Apodemus semotus
Apodemus speciosus,Apodemus speciosus
Apodemus sylvaticus,Apodemus sylvaticus
Apodemus uralensis,Apodemus uralensis
Apodemus witherbyi,Apodemus witherbyi
Apomys abrae,Apomys abrae
Apomys aurorae,Apomys aurorae
Apomys banahao,Apomys banahao
Apomys brownorum,Apomys brownorum
Apomys camiguinensis,Apomys camiguinensis
Apomys datae,Apomys datae
Apomys gracilirostris,Apomys gracilirostris
Apomys hylocetes,Apomys hylocetes
Apomys insignis,Apomys insignis
Apomys iridensis,Apomys iridensis
Apomys littoralis,Apomys littoralis
Apomys lubangensis,Apomys lubangensis
Apomys magnus,Apomys magnus
Apomys microdon,Apomys microdon
Apomys minganensis,Apomys minganensis
Apomys musculus,Apomys musculus
Apomys sacobianus,Apomys sacobianus
Apomys sierrae,Apomys sierrae
Apomys zambalensis,Apomys zambalensis
Aproteles bulmerae,Aproteles bulmerae
Arabitragus jayakari,Arabitragus jayakari
Arabitragus jayakari,Hemitragus jayakari
Arborimus albipes,Arborimus albipes
Arborimus longicaudus,Arborimus longicaudus
Arborimus pomo,Arborimus pomo
Archboldomys luzonensis,Archboldomys luzonensis
Archboldomys maximus,Archboldomys maximus
Arctictis binturong,Arctictis binturong
Arctocebus aureus,Arctocebus aureus
Arctocebus calabarensis,Arctocebus calabarensis
Arctocephalus australis,Arctocephalus australis
Arctocephalus forsteri,Arctocephalus forsteri
Arctocephalus galapagoensis,Arctocephalus galapagoensis
Arctocephalus gazella,Arctocephalus gazella
Arctocephalus philippii,Arctocephalus philippii
Arctocephalus pusillus,Arctocephalus pusillus
Arctocephalus townsendi,Arctocephalus townsendi
Arctocephalus tropicalis,Arctocephalus tropicalis
Arctogalidia trivirgata,Arctogalidia trivirgata
Arctonyx albogularis,Arctonyx albogularis
Arctonyx albogularis,Arctonyx collaris
Arctonyx collaris,Arctonyx collaris
Arctonyx hoevenii,Arctonyx collaris
Arctonyx hoevenii,Arctonyx hoevenii
Ardops nichollsi,Ardops nichollsi
Arielulus aureocollaris,Arielulus aureocollaris
Arielulus circumdatus,Arielulus circumdatus
Arielulus cuprosus,Arielulus cuprosus
Arielulus societatis,Arielulus societatis
Arielulus torquatus,Arielulus torquatus
Ariteus flavescens,Ariteus flavescens
Artibeus aequatorialis,Artibeus aequatorialis
Artibeus aequatorialis,Artibeus jamaicensis
Artibeus amplus,Artibeus amplus
Artibeus concolor,Artibeus concolor
Artibeus fimbriatus,Artibeus fimbriatus
Artibeus fraterculus,Artibeus fraterculus
Artibeus hirsutus,Artibeus hirsutus
Artibeus inopinatus,Artibeus inopinatus
Artibeus jamaicensis,Artibeus jamaicensis
Artibeus lituratus,Artibeus lituratus
Artibeus obscurus,Artibeus obscurus
Artibeus planirostris,Artibeus jamaicensis
Artibeus planirostris,Artibeus planirostris
Artibeus schwartzi,Artibeus jamaicensis
Artibeus schwartzi,Artibeus schwartzi
Arvicanthis abyssinicus,Arvicanthis abyssinicus
Arvicanthis ansorgei,Arvicanthis ansorgei
Arvicanthis blicki,Arvicanthis blicki
Arvicanthis nairobae,Arvicanthis nairobae
Arvicanthis neumanni,Arvicanthis neumanni
Arvicanthis niloticus,Arvicanthis niloticus
Arvicanthis rufinus,Arvicanthis rufinus
Arvicola amphibius,Arvicola amphibius
Arvicola sapidus,Arvicola sapidus
Arvicola scherman,Arvicola scherman
Asellia arabica,Asellia arabica
Asellia arabica,Asellia tridens
Asellia italosomalica,Asellia italosomalica
Asellia italosomalica,Asellia tridens
Asellia patrizii,Asellia patrizii
Asellia tridens,Asellia tridens
Aselliscus stoliczkanus,Aselliscus stoliczkanus
Aselliscus tricuspidatus,Aselliscus tricuspidatus
Atelerix albiventris,Atelerix albiventris
Atelerix algirus,Atelerix algirus
Atelerix frontalis,Atelerix frontalis
Atelerix sclateri,Atelerix sclateri
Ateles belzebuth,Ateles belzebuth
Ateles chamek,Ateles chamek
Ateles fusciceps,Ateles fusciceps
Ateles geoffroyi,Ateles geoffroyi
Ateles hybridus,Ateles hybridus
Ateles marginatus,Ateles marginatus
Ateles paniscus,Ateles paniscus
Atelocynus microtis,Atelocynus microtis
Atherurus africanus,Atherurus africanus
Atherurus macrourus,Atherurus macrourus
Atilax paludinosus,Atilax paludinosus
Atlantoxerus getulus,Atlantoxerus getulus
Atopogale cubana,Atopogale cubana
Atopogale cubana,Solenodon cubanus
Auliscomys boliviensis,Auliscomys boliviensis
Auliscomys pictus,Auliscomys pictus
Auliscomys sublimis,Auliscomys sublimis
Austronomus australis,Austronomus australis
Austronomus australis,Tadarida australis
Austronomus kuboriensis,Austronomus kuboriensis
Austronomus kuboriensis,Tadarida kuboriensis
Avahi betsileo,Avahi betsileo
Avahi cleesei,Avahi cleesei
Avahi laniger,Avahi laniger
Avahi meridionalis,Avahi meridionalis
Avahi mooreorum,Avahi mooreorum
Avahi occidentalis,Avahi occidentalis
Avahi peyrierasi,Avahi peyrierasi
Avahi ramanantsoavanai,Avahi ramanantsoavanai
Avahi unicolor,Avahi unicolor
Axis axis,Axis axis
Axis calamianensis,Axis calamianensis
Axis kuhlii,Axis kuhlii
Axis porcinus,Axis porcinus
Babyrousa babyrussa,Babyrousa babyrussa
Babyrousa celebensis,Babyrousa bolabatuensis
Babyrousa celebensis,Babyrousa celebensis
Babyrousa togeanensis,Babyrousa togeanensis
Baeodon alleni,Baeodon alleni
Baeodon alleni,Rhogeessa alleni
Baeodon gracilis,Baeodon gracilis
Baeodon gracilis,Rhogeessa gracilis
Baiomys musculus,Baiomys musculus
Baiomys taylori,Baiomys taylori
Baiyankamys habbema,Baiyankamys habbema
Baiyankamys habbema,Hydromys habbema
Baiyankamys shawmayeri,Baiyankamys shawmayeri
Baiyankamys shawmayeri,Hydromys shawmayeri
Balaena mysticetus,Balaena mysticetus
Balaenoptera acutorostrata,Balaenoptera acutorostrata
Balaenoptera bonaerensis,Balaenoptera bonaerensis
Balaenoptera borealis,Balaenoptera borealis
Balaenoptera edeni,Balaenoptera edeni
Balaenoptera musculus,Balaenoptera musculus
Balaenoptera omurai,Balaenoptera omurai
Balaenoptera physalus,Balaenoptera physalus
Balantiopteryx infusca,Balantiopteryx infusca
Balantiopteryx io,Balantiopteryx io
Balantiopteryx plicata,Balantiopteryx plicata
Balionycteris maculata,Balionycteris maculata
Balionycteris seimundi,Balionycteris maculata
Bandicota bengalensis,Bandicota bengalensis
Bandicota indica,Bandicota indica
Bandicota savilei,Bandicota savilei
Barbastella barbastellus,Barbastella barbastellus
Barbastella beijingensis,Not recognised
Barbastella darjelingensis,Barbastella leucomelas
Barbastella leucomelas,Barbastella leucomelas
Bassaricyon alleni,Bassaricyon alleni
Bassaricyon alleni,Bassaricyon beddardi
Bassaricyon gabbii,Bassaricyon gabbii
Bassaricyon gabbii,Bassaricyon lasius
Bassaricyon gabbii,Bassaricyon pauli
Bassaricyon medius,Bassaricyon medius
Bassaricyon neblina,Bassaricyon neblina
Bassariscus astutus,Bassariscus astutus
Bassariscus sumichrasti,Bassariscus sumichrasti
Bathyergus janetta,Bathyergus janetta
Bathyergus suillus,Bathyergus suillus
Batomys dentatus,Batomys dentatus
Batomys granti,Batomys granti
Batomys hamiguitan,Batomys hamiguitan
Batomys russatus,Batomys russatus
Batomys salomonseni,Batomys salomonseni
Batomys uragon,Batomys granti
Batomys uragon,Batomys uragon
Bauerus dubiaquercus,Bauerus dubiaquercus
Bdeogale crassicauda,Bdeogale crassicauda
Bdeogale jacksoni,Bdeogale jacksoni
Bdeogale nigripes,Bdeogale nigripes
Bdeogale omnivora,Bdeogale crassicauda
Bdeogale omnivora,Bdeogale omnivora
Beamys hindei,Beamys hindei
Beamys hindei,Beamys major
Beatragus hunteri,Beatragus hunteri
Belomys pearsonii,Belomys pearsonii
Berardius arnuxii,Berardius arnuxii
Berardius bairdii,Berardius bairdii
Berylmys berdmorei,Berylmys berdmorei
Berylmys bowersi,Berylmys bowersi
Berylmys mackenziei,Berylmys mackenziei
Berylmys manipulus,Berylmys manipulus
Bettongia anhydra,Bettongia anhydra
Bettongia anhydra,Bettongia penicillata
Bettongia gaimardi,Bettongia gaimardi
Bettongia lesueur,Bettongia lesueur
Bettongia penicillata,Bettongia penicillata
Bettongia pusilla,Bettongia pusilla
Bettongia tropica,Bettongia tropica
Bibimys chacoensis,Bibimys chacoensis
Bibimys labiosus,Bibimys labiosus
Bibimys torresi,Bibimys torresi
Bison bison,Bison bison
Bison bonasus,Bison bonasus
Biswamoyopterus biswasi,Biswamoyopterus biswasi
Biswamoyopterus laoensis,Biswamoyopterus laoensis
Blanfordimys afghanus,Blanfordimys afghanus
Blanfordimys bucharensis,Blanfordimys bucharensis
Blarina brevicauda,Blarina brevicauda
Blarina carolinensis,Blarina carolinensis
Blarina carolinensis,Blarina peninsulae
Blarina hylophaga,Blarina hylophaga
Blarinella griselda,Blarinella griselda
Blarinella quadraticauda,Blarinella quadraticauda
Blarinella wardi,Blarinella wardi
Blarinomys breviceps,Blarinomys breviceps
Blastocerus dichotomus,Blastocerus dichotomus
Boneia bidens,Rousettus bidens
Boromys offella,Boromys offella
Boromys torrei,Boromys torrei
Bos gaurus,Bos frontalis
Bos gaurus,Bos gaurus
Bos javanicus,Bos javanicus
Bos mutus,Bos grunniens
Bos mutus,Bos mutus
Bos primigenius,Bos primigenius
Bos primigenius,Bos taurus
Bos sauveli,Bos sauveli
Boselaphus tragocamelus,Boselaphus tragocamelus
Brachiones przewalskii,Brachiones przewalskii
Brachylagus idahoensis,Brachylagus idahoensis
Brachyphylla cavernarum,Brachyphylla cavernarum
Brachyphylla nana,Brachyphylla nana
Brachytarsomys albicauda,Brachytarsomys albicauda
Brachytarsomys villosa,Brachytarsomys villosa
Brachyteles arachnoides,Brachyteles arachnoides
Brachyteles hypoxanthus,Brachyteles hypoxanthus
Brachyuromys betsileoensis,Brachyuromys betsileoensis
Brachyuromys ramirohitra,Brachyuromys ramirohitra
Bradypus pygmaeus,Bradypus pygmaeus
Bradypus torquatus,Bradypus torquatus
Bradypus tridactylus,Bradypus tridactylus
Bradypus variegatus,Bradypus variegatus
Brassomys albidens,Brassomys albidens
Brassomys albidens,Coccymys albidens
Brotomys voratus,Brotomys voratus
Brucepattersonius griserufescens,Brucepattersonius albinasus
Brucepattersonius griserufescens,Brucepattersonius griserufescens
Brucepattersonius guarani,Brucepattersonius guarani
Brucepattersonius igniventris,Brucepattersonius igniventris
Brucepattersonius iheringi,Brucepattersonius iheringi
Brucepattersonius misionensis,Brucepattersonius misionensis
Brucepattersonius paradisus,Brucepattersonius paradisus
Brucepattersonius soricinus,Brucepattersonius soricinus
Bubalus arnee,Bubalus arnee
Bubalus arnee,Bubalus bubalis
Bubalus depressicornis,Bubalus depressicornis
Bubalus mindorensis,Bubalus mindorensis
Bubalus quarlesi,Bubalus quarlesi
Budorcas taxicolor,Budorcas taxicolor
Bullimus bagobus,Bullimus bagobus
Bullimus gamay,Bullimus gamay
Bullimus luzonicus,Bullimus luzonicus
Bunolagus monticularis,Bunolagus monticularis
Bunomys andrewsi,Bunomys andrewsi
Bunomys chrysocomus,Bunomys chrysocomus
Bunomys coelestis,Bunomys coelestis
Bunomys fratrorum,Bunomys fratrorum
Bunomys karokophilus,Bunomys karokophilus
Bunomys penitus,Bunomys penitus
Bunomys prolatus,Bunomys prolatus
Bunomys torajae,Bunomys torajae
Burramys parvus,Burramys parvus
Cabassous centralis,Cabassous centralis
Cabassous chacoensis,Cabassous chacoensis
Cabassous tatouay,Cabassous tatouay
Cabassous unicinctus,Cabassous unicinctus
Cacajao ayresi,Cacajao ayresi
Cacajao ayresi,Cacajao melanocephalus
Cacajao calvus,Cacajao calvus
Cacajao hosomi,Cacajao hosomi
Cacajao hosomi,Cacajao melanocephalus
Cacajao melanocephalus,Cacajao melanocephalus
Caenolestes caniventer,Caenolestes caniventer
Caenolestes condorensis,Caenolestes condorensis
Caenolestes convelatus,Caenolestes convelatus
Caenolestes fuliginosus,Caenolestes fuliginosus
Caenolestes sangay,Caenolestes sangay
Calcochloris obtusirostris,Calcochloris obtusirostris
Calcochloris tytonis,Calcochloris tytonis
Callibella humilis,Callibella humilis
Callibella humilis,Callithrix humilis
Callibella humilis,Mico humilis
Callicebus barbarabrownae,Callicebus barbarabrownae
Callicebus coimbrai,Callicebus coimbrai
Callicebus melanochir,Callicebus melanochir
Callicebus nigrifrons,Callicebus nigrifrons
Callicebus personatus,Callicebus personatus
Callimico goeldii,Callimico goeldii
Callistomys pictus,Callistomys pictus
Callithrix aurita,Callithrix aurita
Callithrix flaviceps,Callithrix flaviceps
Callithrix geoffroyi,Callithrix geoffroyi
Callithrix jacchus,Callithrix jacchus
Callithrix kuhlii,Callithrix kuhlii
Callithrix penicillata,Callithrix penicillata
Callorhinus ursinus,Callorhinus ursinus
Callosciurus adamsi,Callosciurus adamsi
Callosciurus albescens,Callosciurus albescens
Callosciurus baluensis,Callosciurus baluensis
Callosciurus caniceps,Callosciurus caniceps
Callosciurus erythraeus,Callosciurus erythraeus
Callosciurus finlaysonii,Callosciurus finlaysonii
Callosciurus inornatus,Callosciurus inornatus
Callosciurus melanogaster,Callosciurus melanogaster
Callosciurus nigrovittatus,Callosciurus nigrovittatus
Callosciurus notatus,Callosciurus notatus
Callosciurus orestes,Callosciurus orestes
Callosciurus phayrei,Callosciurus phayrei
Callosciurus prevostii,Callosciurus prevostii
Callosciurus pygerythrus,Callosciurus pygerythrus
Callosciurus quinquestriatus,Callosciurus quinquestriatus
Callospermophilus lateralis,Callospermophilus lateralis
Callospermophilus lateralis,Spermophilus lateralis
Callospermophilus madrensis,Callospermophilus madrensis
Callospermophilus madrensis,Spermophilus madrensis
Callospermophilus saturatus,Callospermophilus saturatus
Callospermophilus saturatus,Spermophilus saturatus
Calomys boliviae,Calomys boliviae
Calomys callidus,Calomys callidus
Calomys callosus,Calomys callosus
Calomys expulsus,Calomys expulsus
Calomys fecundus,Calomys boliviae
Calomys fecundus,Calomys fecundus
Calomys hummelincki,Calomys hummelincki
Calomys laucha,Calomys laucha
Calomys lepidus,Calomys lepidus
Calomys musculinus,Calomys musculinus
Calomys sorellus,Calomys sorellus
Calomys tener,Calomys tener
Calomys tocantinsi,Calomys tocantinsi
Calomys venustus,Calomys venustus
Calomyscus bailwardi,Calomyscus bailwardi
Calomyscus baluchi,Calomyscus baluchi
Calomyscus elburzensis,Calomyscus elburzensis
Calomyscus grandis,Calomyscus grandis
Calomyscus hotsoni,Calomyscus hotsoni
Calomyscus mystax,Calomyscus mystax
Calomyscus tsolovi,Calomyscus tsolovi
Calomyscus urartensis,Calomyscus urartensis
Caloprymnus campestris,Caloprymnus campestris
Caluromys derbianus,Caluromys derbianus
Caluromys lanatus,Caluromys lanatus
Caluromys philander,Caluromys philander
Caluromysiops irrupta,Caluromysiops irrupta
Calyptophractus retusus,Calyptophractus retusus
Calyptophractus retusus,Chlamyphorus retusus
Camelus ferus,Camelus bactrianus
Camelus ferus,Camelus ferus
Canis adustus,Canis adustus
Canis aureus,Canis aureus
Canis latrans,Canis latrans
Canis lupaster,Canis lupaster
Canis lupus,Canis familiaris
Canis lupus,Canis lupus
Canis mesomelas,Canis mesomelas
Canis rufus,Canis rufus
Canis simensis,Canis simensis
Cannomys badius,Cannomys badius
Cansumys canus,Cansumys canus
Caperea marginata,Caperea marginata
Capra aegagrus,Capra aegagrus
Capra aegagrus,Capra hircus
Capra caucasica,Capra caucasica
Capra cylindricornis,Capra caucasica
Capra cylindricornis,Capra cylindricornis
Capra falconeri,Capra falconeri
Capra ibex,Capra ibex
Capra nubiana,Capra nubiana
Capra pyrenaica,Capra pyrenaica
Capra sibirica,Capra sibirica
Capra walie,Capra walie
Capreolus capreolus,Capreolus capreolus
Capreolus pygargus,Capreolus pygargus
Capricornis crispus,Capricornis crispus
Capricornis rubidus,Capricornis rubidus
Capricornis sumatraensis,Capricornis milneedwardsii
Capricornis sumatraensis,Capricornis sumatraensis
Capricornis sumatraensis,Capricornis sumatrensis
Capricornis sumatraensis,Capricornis thar
Capricornis swinhoei,Capricornis swinhoei
Caprolagus hispidus,Caprolagus hispidus
Capromys pilorides,Capromys garridoi
Capromys pilorides,Capromys gundlachianus
