order,family,genus,species,iucn2020_binomial,phylacine_binomial,adult_mass_g,adult_brain_mass_g,adult_body_length_mm,adult_forearm_length_mm,max_longevity_d,maturity_d,female_maturity_d,male_maturity_d,age_first_reproduction_d,gestation_length_d,teat_number_n,litter_size_n,litters_per_year_n,interbirth_interval_d,neonate_mass_g,weaning_age_d,weaning_mass_g,generation_length_d,dispersal_km,density_n_km2,hibernation_torpor,fossoriality,home_range_km2,social_group_n,dphy_invertebrate,dphy_vertebrate,dphy_plant,det_inv,det_vend,det_vect,det_vfish,det_vunk,det_scav,det_fruit,det_nect,det_seed,det_plantother,det_diet_breadth_n,trophic_level,foraging_stratum,activity_cycle,freshwater,marine,terrestrial_non-volant,terrestrial_volant,upper_elevation_m,lower_elevation_m,altitude_breadth_m,island_dwelling,island_endemicity,disected_by_mountains,glaciation,biogeographical_realm,habitat_breadth_n
Rodentia,Muridae,Abditomys,latidens,Abditomys latidens,Abditomys latidens,268.09,NA,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.514,NA,NA,NA,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1,Ar,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,Indomalayan,1
Rodentia,Muridae,Abeomelomys,sevia,Abeomelomys sevia,Abeomelomys sevia,57.89,1.49,158.645,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,0.221,NA,0,2,NA,NA,19,3,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,G,1,0,0,1,0,3100,1400,1700,0,NA,0,0,Australasian,2
Rodentia,Cricetidae,Abrawayaomys,chebezi,Abrawayaomys chebezi,Not recognised,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,Neotropical,1
Rodentia,Cricetidae,Abrawayaomys,ruschii,Abrawayaomys ruschii,Abrawayaomys ruschii,62.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232,NA,0,NA,NA,NA,11,1,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,G,NA,0,0,1,0,NA,NA,NA,0,NA,0,0,Neotropical,1
Rodentia,Abrocomidae,Abrocoma,bennettii,Abrocoma bennettii,Abrocoma bennettii,265.5,NA,250,NA,851.667,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,0.511,102.5,0,2,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1,G,1,0,0,1,0,4000,0,4000,0,NA,0,0,Neotropical,2
Rodentia,Abrocomidae,Abrocoma,boliviensis,Abrocoma boliviensis,Abrocoma boliviensis,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.384,NA,NA,NA,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1,G,1,0,0,1,0,2270,1800,470,NA,NA,NA,NA,Neotropical,2
Rodentia,Abrocomidae,Abrocoma,budini,Abrocoma budini,Abrocoma budini,221.82,NA,201,NA,395.417,NA,NA,NA,NA,112.269,NA,1.995,NA,NA,12.755,NA,NA,NA,0.463,NA,NA,NA,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,G,NA,0,0,1,0,3000,3000,0,NA,NA,NA,NA,Neotropical,2
Rodentia,Abrocomidae,Abrocoma,cinerea,Abrocoma cinerea,Abrocoma cinerea,221.82,NA,201,NA,395.417,NA,NA,NA,NA,112.269,NA,1.995,NA,NA,12.755,NA,NA,NA,0.463,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1,G,1,0,0,1,0,5000,3700,1300,0,NA,1,0,Neotropical,2
Rodentia,Abrocomidae,Abrocoma,famatina,Abrocoma famatina,Abrocoma famatina,221.82,NA,201,NA,395.417,NA,NA,NA,NA,112.269,NA,1.995,NA,NA,12.755,NA,NA,NA,0.463,NA,NA,NA,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,G,NA,0,0,1,0,NA,3800,NA,NA,NA,NA,NA,Neotropical,2
Rodentia,Abrocomidae,Abrocoma,shistacea,Abrocoma shistacea,Abrocoma shistacea,221.82,NA,201,NA,395.417,NA,NA,NA,NA,112.269,NA,1.995,NA,NA,12.755,NA,NA,NA,0.463,NA,NA,NA,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,G,NA,0,0,1,0,2900,1100,1800,NA,NA,NA,NA,Neotropical,2
Rodentia,Abrocomidae,Abrocoma,uspallata,Abrocoma uspallata,Abrocoma uspallata,164.279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.393,NA,NA,NA,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,G,NA,0,0,1,0,2150,1850,300,NA,NA,NA,NA,Neotropical,3
