species,Synurbic,cites,Type of anth roosting structure,Reference 1,Reference 2,Reference 3,Complete,Reference No,Year(s) of Pub,Comments,
Arielulus aureocollaris,NA,0,,,,,yes,NA,NA,"2020 IUCN states no roosting site information is available, now Thainycteris aureocollaris?",
Arielulus circumdatus,NA,0,,,,,yes,NA,NA,Roosting sites unknown according to IUCN,
Arielulus cuprosus,NA,0,,,,,yes,NA,NA,"Understudied, roosting structure type not known, rare species",
Arielulus societatis,0,0,NA,https://www.iucnredlist.org/species/40776/22134204,,,yes,11,2020,ICUN redlist mentions single bat found in cave of Selangor but exact location not provided,
Arielulus torquatus,NA,0,,,,,yes,NA,NA,"Little information on this bat, even less so on its synonym ""Thainycteris torquatus"", leaving as NA",
Ariteus flavescens,NA,0,NA,https://www.jstor.org/stable/1379558,,,yes,NA,NA,Linked paper suggests that it doesnt roost in caves but doesnt mention anywhere else they may roost.,
Artibeus amplus,0,1,NA,https://doi.org/10.3161/150811011X578741,,,yes,12,2011,Linked paper mentions roosting in caves,
Artibeus concolor,NA,0,,,,,yes,NA,NA,"Leaving as NA, could not locate roosting sites or structures",
Artibeus fimbriatus,0,5,NA,https://doi.org/10.1111/mam.12114,,,yes,13,2018,Roosts in hollows and caves,
Artibeus fraterculus,1,1,"bridges, churches, houses, mines",https://doi.org/10.1093/mspecies/sey008,,,yes,14,2018,,
Artibeus hirsutus,1,3,"abandoned mines, buildings",https://doi.org/10.2307/3503811,,,yes,15,1983,,
Artibeus inopinatus,1,0,unoccupied houses,https://doi.org/10.2307/3503811,,,yes,15,1983,,
Artibeus jamaicensis,1,104,houses and buildings,"Norwak 1994, pg161",,,yes,1,1994,Originally listed as a 0 in santini dataset,
Artibeus lituratus,1,111,buidings,https://d1wqtxts1xzle7.cloudfront.net/12824918/CN9_1-2_2003-libre.pdf?1390861991=&response-content-disposition=inline%3B+filename%3DBats_from_the_city_of_Belo_Horizonte_Min.pdf&Expires=1685670713&Signature=HWSnM-lafFiRuJMR6~1rXVXuSysge4WT9ZU-Nm3H-XD5ZHS62GLGqgSbuYF2CFVZ6Rt1PyqnrbPrSk~n2~Cs3cJbT8GqRUXzncuu-xhSUfQq7AVL2qbxt8GwsX1kQvOGNXblAFRhgz1zIXjqgP7dwT8HLCGIumyH6c7GgtFQAnYJEtKI6zDc-lhlwHU51DOnFG7T2d3FYAEeSQAaPCA~o5NyfTo3Fqp7ray-5hU6Iins0A~geS~vmLaYVdztyrpV8QNfKUKL59qkvkbPE8ZRVAd3MFF0dAdgzwMODaQ8eEhgtJu65-xnW0fDfu7oDBQKRamtxi8ngzums0XmzryVXA__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,,,yes,16,2013,"ADW lists this species as roostin in urban areas specifically, cited article associates this species with houses ",
Artibeus obscurus,0,9,NA,https://www.iucnredlist.org/species/2137/21998064,https://doi.org/10.1644/752,,yes,"17,18","2016, 2004",,
Artibeus planirostris,0,39,NA,https://doi.org/10.1644/775,,,yes,19,2005,,
Asellia arabica,0,0,NA,https://www.iucnredlist.org/species/80222726/95642180,,,yes,20,2016,,
Asellia patrizii,1,0,buidings,https://www.iucnredlist.org/species/2153/21975955,https://doi.org/10.5962/bhl.part.10153,,yes,"21,22",1971,,
Asellia tridens,1,5,"temples, mines, open-wells, underground irrigation tunnels and old tombs and buildings",https://www.iucnredlist.org/species/80221529/21975715,,,yes,23,2016,,
Aselliscus stoliczkanus,0,12,NA,"Norwak 1994, Pg 115-116",,,yes,1,1994,,
Aselliscus tricuspidatus,1,0,Tunnels,https://www.iucnredlist.org/species/2156/21976047,,,yes,24,2021,,
Balantiopteryx infusca,1,0,culverts,https://www.iucnredlist.org/species/2531/97206692,,,yes,25,2014,,
Balantiopteryx io,0,0,NA,https://www.iucnredlist.org/species/2532/22030080,,,yes,26,2014,mentions roosting in high chambers but not distinguished as human structure,
Balantiopteryx plicata,1,6,buildings and bridges,https://www.iucnredlist.org/species/2533/22029659,,,yes,27,2016,,
Balionycteris maculata,0,0,NA,"Norwak 1994, pg 75",,,yes,1,1994,,
Barbastella barbastellus,1,24,buildings,"Norwak 1994, pg 217",,,yes,1,1994,Mention of roosting in buildings during the summer,
Barbastella beijingensis,1,0,"old buildings, tunnel","Norwak 1994, pg 217",https://doi.org/10.1644/07-MAMM-A-114R2.1,,yes,"1,28","1994, 2007","based off of genus wide trait, newly described in 2007, paper linked mentions roosting in a tunnel",
Barbastella leucomelas,1,1,"old buildings, mines, tunnels","Norwak 1994, pg 217",,,yes,1,1994,,
Bauerus dubiaquercus,1,0,building,https://www.iucnredlist.org/species/1789/22129523,,,yes,29,2018,References mention that roosting ecology is unknown other than a single bat roosting in a building,
Brachyphylla cavernarum,1,4,building and well,https://doi.org/10.2307/3503901,"Norwak 1994, pg 170",,yes,"1,30","1983, 1994",,
Brachyphylla nana,0,0,NA,https://doi.org/10.3389/fevo.2022.907751,https://doi.org/10.2307/3503872,,yes,"31,32","2022, 1983",,
Cardioderma cor,1,3,"abandonded buildings, culvert",https://doi.org/10.2307/3504163,https://doi.org/10.1515/mamm.2001.65.3.387,,yes,"33,34","1996, 2001",,
Carollia benkeithi,NA,0,,,,,yes,NA,NA,"Leaving as NA, structures not found only habitats where they are misnetted",
Carollia brevicauda,1,19,concrete bridge,https://doi.org/10.47603/mano.v8n1.203,,,yes,35,2022,Alternative doi (https://doi.org/10.15446/abc.v19n2.30207),
Carollia castanea,0,4,NA,https://doi.org/10.1186/s12983-021-00437-6,https://doi.org/10.1644/05-MAMM-A-161R1.1,,yes,"36,37","2021, 2006","tree hollows, underover hanging banks, and earth holes",
Carollia manu,1,1,"tunnels, road culverts, buildings",https://www.iucnredlist.org/species/136782/22033116,"Norwak 1994,  pg 150",,yes,"38, 1","2015, 1994","Based off of genus wide traits, ICUN suggested that behavior like the other members of its genus.",
Carollia perspicillata,1,203,"tunnels, road culverts, buildings",https://doi.org/10.2307/3504157,"Norwak 1994,  pg 150",,yes,"39, 1","1992, 1994",,
Carollia sowelli,1,8,houses,https://dx.doi.org/10.2305/IUCN.UK.2015-4.RLTS.T136268A22003903.en,http://doi.org/10.5281/zenodo.6458594,https://doi.org/10.47603/mano.v8n1.203,yes,"35, 40, 41","2022, 2015, 2019","synonym to C. brevicauda, also marking as 1",
Carollia subrufa,1,0,"empty wells, culverts, hollow trees and buildings",Reid 1997,"Norwak 1994, pg 150",,yes,"42, 1","1997, 1994",,
Casinycteris argynnis,0,3,NA,"Norwak 1994, pg 69-70",,,yes,1,1994,foilage roosting,
Casinycteris campomaanensis,NA,1,NA,,,,yes,NA,NA,"no roosting information, leaving NA",
Casinycteris ophiodon,0,0,NA,https://www.researchgate.net/publication/235676678_Scotonycteris_ophiodon_Pohle's_fruit_bat,,,yes,43,2013,"Synonym of Scotonycteris ophiodon, tree roosting",
Centronycteris centralis,0,1,NA,https://www.iucnredlist.org/species/136350/22023809,,,yes,45,2015,,
Centronycteris maximiliani,0,3,NA,https://www.iucnredlist.org/species/4112/22002444,,,yes,46,2016,,
Centurio senex,0,1,NA,"Norwak 1994, pg 168",,,yes,1,1994,,
Chaerephon aloysiisabaudiae,0,0,NA,https://www.iucnredlist.org/species/4305/22020676,,,yes,47,2016,,
Chaerephon ansorgei,1,0,"abandond mines, roofs of buildings, expansion joints of buildings",https://doi.org/10.2307/0.660.1,,,yes,48,2001,,
Chaerephon atsinanana,1,0,"roofs of houses, schools, and churches",https://www.iucnredlist.org/species/67360705/67360707,DOI: https://doi.org/10.4404/hystrix-28.1-12046,,yes,"49,50","2017, 2016",,
Chaerephon bemmeleni,0,0,NA,https://www.iucnredlist.org/species/4307/22020379,http://doi.org/10.5281/zenodo.6458594,,yes,"51, 41","2016, 2019",,
Chaerephon bivittatus,1,1,old mines,https://agris.fao.org/agris-search/search.do?recordID=XF2015021628,,,yes,52,1976,,
Chaerephon bregullae,0,0,NA,https://doi.org/10.1017/S0030605307004036,https://doi.org/10.1017/S0030605312001664,,yes,"53, 54","2007, 2013",,
Chaerephon chapini,1,0,houses,https://doi.org/10.1644/0.692.1,,,yes,55,2002,,
Chaerephon gallagheri,0,0,NA,https://www.iucnredlist.org/species/4311/22019365,"Norwak 1994, pg 240",,yes,"56, 1","2019, 1994",presumed to be natural roosting,
Chaerephon jobensis,1,0,"buildings, bridges and jetties",https://www.ausbats.org.au/uploads/4/4/9/0/44908845/absn02.pdf,https://www.researchgate.net/publication/268151067_Northern_Freetail-bat_Chaerephon_jobensis,,yes,"57, 58","1993, 2008",,
Chaerephon johorensis,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting ecology unknown/could not be located",
Chaerephon major,1,0,houses,http://hdl.handle.net/2246/5243,"Norwak 1994, pg 240",,yes,"59, 1","1986, 1994",,
Chaerephon nigeriae,1,1,"roofs and eaves of houes, bungalows, ",https://doi.org/10.1644/0.710.1,"Norwak 1994, pg 240",,yes,"60, 1","2002, 1994",,
Chaerephon plicatus,1,3,disused buildings and temples,https://www.iucnredlist.org/species/4316/22018444,,,yes,61,2020,,
Chaerephon pumilus,1,5,thatched and corregated iron roofs,https://doi.org/10.2307/3504344,,,yes,62,1998,,
Chaerephon russatus,0,0,NA,https://www.iucnredlist.org/species/4319/22017886,,,yes,63,2019,tree roosting,
Chaerephon solomonis,0,0,NA,https://dx.doi.org/10.2305/IUCN.UK.2020-2.RLTS.T4320A22017829.en,,,yes,64,2020,cave roosting,
Chaerephon tomensis,NA,0,,,,,yes,NA,NA,"leaving as NA, rare species, roosting ecology unknown",
Chalinolobus dwyeri,1,0,Mine tunnels,https://doi.org/10.2307/1377908,,,yes,65,1966,,
Chalinolobus gouldii,1,15,buildings and bat boxes,https://doi.org/10.1644/0.690.1,https://doi.org/10.1111/mam.12097,"Norwak 1994, pg 205",yes,"66, 67, 1","2002, 2017, 1994",,
Chalinolobus morio,1,2,"schoolhouse, church",https://www.biodiversitylibrary.org/part/271592,https://www.publish.csiro.au/am/am10008,https://doi.org/10.1071/ZO20049,yes,"68, 69, 70","1979, 2010, 2020",,
Chalinolobus neocaledonicus,1,1,roofs,https://www.iucnredlist.org/species/4420/21984825,"Norwak 1994, pg 205",,yes,"71, 1","2020, 1994",,
Chalinolobus nigrogriseus,1,1,buildings,https://www.iucnredlist.org/species/4421/21984276,"Norwak 1994, pg 205",,yes,"72, 1","2020, 1994",,
Chalinolobus picatus,1,0,abandoned buildings,https://www.iucnredlist.org/species/4422/21984147,"norwak 1994, pg 205",,yes,"73, 1","2020, 1994",,
Chalinolobus tuberculatus,0,4,NA,https://doi.org/10.1080/03014223.2003.9518341,https://www.researchgate.net/publication/273204455_Causes_and_consequences_of_tree-cavity_roosting_in_a_temperate_bat_Chalinolobus_tuberculatus_from_New_Zealand,,yes,"74, 75","2003, 2006",tree cavity roosting,
Cheiromeles parvidens,0,0,NA,https://www.iucnredlist.org/species/4600/22034921,"Norwak 1994, pg 247",,yes,"76, 1","2019, 1994",,
Cheiromeles torquatus,1,3,buildings,https://lkcnhm.nus.edu.sg/wp-content/uploads/sites/10/app/uploads/2017/04/2009nis215-230.pdf,,,yes,77,2009,,
Chilonatalus micropus,0,0,NA,https://doi.org/10.1206/636.1,,,yes,78,2011,,
Chilonatalus tumidifrons,0,0,NA,https://doi.org/10.1206/636.1,,,yes,78,2011,,
Chiroderma doriae,NA,1,,,,,yes,NA,NA,"leaving as NA, roosting ecology unknown",
Chiroderma improvisum,NA,1,,,,,yes,NA,NA,"leaving as NA, rare species, roosting ecology unknown",
Chiroderma salvini,1,0,houses,https://doi.org/10.5962/bhl.part.5667,,,yes,79,1976,gbif describes bats captured inside houes,
Chiroderma trinitatum,0,1,NA,https://digitallibrary.amnh.org/handle/2246/1270,,,yes,80,1961,individual located in cave,
Chiroderma villosum,1,5,"buildings, room in buildling",https://doi.org/10.11646/zootaxa.4846.1.1,https://doi.org/10.5962/bhl.title.15684,https://doi.org/10.5962/bhl.part.5667,yes,"81, 82, 80","2020, 1920, 1961",cited paper and GBIF state being found in buildings in brazil and venezuela. The documents on the ordinal texts are referenced but are difficult to navigate,
Chiroderma vizottoi,NA,1,,,,,yes,NA,NA,"leaving as NA, rare species, roosting ecology unknown, data deficient",
Chironax melanocephalus,0,0,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,,
Choeroniscus godmani,NA,2,,,,,yes,NA,NA,Roosting ecology unknown other than them not using caves,
Choeroniscus minor,0,1,NA,https://doi.org/10.1644/822.1,,,yes,84,2008,,
Choeroniscus periosus,NA,0,,,,,yes,NA,NA,"leaving as NA, rare species, roosting ecology unknown",
Choeronycteris mexicana,1,10,"buidings,tunnels","Norwak 1994, pg 148",,,yes,1,1994,,
Chrotopterus auritus,1,7,"mines, abandoned buildings, mayan ruins",https://doi.org/10.2307/3504232,,,yes,85,1989,ADW mentions roosting in ancient ruins,
Cistugo lesueuri,1,1,under concrete bridge,https://doi.org/10.1111/1365-2435.13918,,,yes,86,2022,,
Cistugo seabrae,NA,0,NA,,,,yes,NA,NA,roosting ecology unknown,
Cloeotis percivali,1,0,"mine tunnels, dam body corridors",http://doi.org/10.5281/zenodo.6611814,,,yes,87,2019,,
Coelops frithii,1,1,"man-made tunnel, abandoned mining cave",https://www.iucnredlist.org/species/5074/22030377,,,yes,88,2019,,
Coelops hirsutus,0,0,NA,https://dx.doi.org/10.2305/IUCN.UK.2008.RLTS.T5076A11112095.en,,,yes,89,2008,"cave roosting, now subspecies of robinsoni",
Coelops robinsoni,0,0,NA,https://www.iucnredlist.org/species/5076/11112095,,,yes,89,2008,,
Coleura afra,1,4,"house, cellars",https://doi.org/10.2307/3504502,"Norwak 1994, pg 92",,yes,"90, 1","1997, 1994",,
Coleura kibomalandy,0,0,NA,https://www.iucnredlist.org/species/80221085/95642170,,,yes,91,2016,,
Coleura seychellensis,0,0,NA,https://doi.org/10.3161/150811006777070884,,,yes,92,2006,cave roosting,
Cormura brevirostris,1,3,concrete bridges,https://doi.org/10.1644/737,,,yes,93,2003,,
Corynorhinus mexicanus,1,5,"abandond buildings, mine shaft",https://www.iucnredlist.org/species/17599/21976792,https://doi.org/10.2307/3504209,,yes,"94, 95",1992,,
Corynorhinus rafinesquii,1,8,"copper mine, empty boiler, wells, attics, bridges","Harvey 2011, pg 140",,,yes,96,2011,,
Corynorhinus townsendii,1,10,"abandond buildings, abandond mines",https://doi.org/10.2307/3503998,"Harvey 2011, pg 142",,yes,"97, 96","1982, 2011",,
Craseonycteris thonglongyai,0,1,NA,https://doi.org/10.2307/3503984,,,yes,98,1981,,
Cynomops abrasus,0,2,NA,http://doi.org/10.5281/zenodo.6418279,,,yes,99,2019,,
Cynomops greenhalli,1,0,buildings,https://dx.doi.org/10.2305/IUCN.UK.2015-4.RLTS.T13639A22109178.en,,,yes,100,2015,,
Cynomops mexicanus,1,0,buildings,https://dx.doi.org/10.2305/IUCN.UK.2015-4.RLTS.T136611A21987867.en,,,yes,101,2015,,
Cynomops paranus,NA,0,,,,,yes,NA,NA,"leaving as NA, rare species, roosting ecology unknown, data deficient",
Cynomops planirostris,1,3,buildings,https://doi.org/10.1093/mspecies/seab016,,,yes,102,2021,,
Cynopterus brachyotis,0,46,NA,"Norwak 1994, pg 70",https://dx.doi.org/10.2305/IUCN.UK.2019-3.RLTS.T6103A22113381.en,,yes,"103, 1","2019, 1994",cave roosting,
Cynopterus horsfieldii,0,0,NA,"Norwak 1994, pg 70",https://doi.org/10.1644/802.1,,yes,"104, 1","2006, 1994",,
Cynopterus luzoniensis,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting locations not found, poorly known",
Cynopterus minutus,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting locations not found, poorly known, a website (ecology asia) has a photo of two bats under a banana leaf. They refere to it as this bat because it is smaller than C. brachyotis but no confirmation elsewhere.",
Cynopterus nusatenggara,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting locations not found, poorly known",
Cynopterus sphinx,1,73,"under the eaves of houses, buildings",https://doi.org/10.2307/3504423,"Norwak 1994, pg 70",,yes,"105, 1","1999, 1994",,
Cynopterus titthaecheilus,1,3,old building,https://www.iucnredlist.org/species/6107/22114054,,,yes,106,2016,,
Cyttarops alecto,0,0,NA,https://doi.org/10.2307/3503946,,,yes,107,1972,,
Dermanura anderseni,0,1,NA,https://doi.org/10.1007/BF01464350,,,yes,108,1994,tent roosting,
Dermanura aztecus,1,0,abandoned mine,https://doi.org/10.2307/3503879,,,yes,109,1982,synonym of Artibeus aztecus,
Dermanura bogotensis,0,0,NA,https://www.biotaxa.org/cl/article/view/11.2.1616,,,yes,110,2015,,
Dermanura cinereus,0,0,NA,http://doi.org/10.5281/zenodo.6458594,https://doi.org/10.1007/BF01464350,,yes,"41, 108","2019, 1994",tent roosting,
Dermanura glaucus,0,0,NA,https://doi.org/10.1093/mspecies/sev011,https://doi.org/10.1007/BF01464350,,yes,"111, 108","2015, 1994",leaf and tent roosting,
Dermanura gnomus,0,0,NA,https://doi.org/10.1007/BF01464350,,,yes,108,1994,,
Dermanura incomitatus,0,0,NA,https://www.iucnredlist.org/species/99586593/21997358,,,yes,115,2015,very few google scholar results ,
Dermanura phaeotis,0,4,NA,https://doi.org/10.2307/3504062,,,yes,112,1985,,
Dermanura rava,NA,0,,,,,yes,NA,NA,"leaving as NA, could not locate specfic roosting structure",
Dermanura rosenbergii,0,0,NA,https://doi.org/10.18257/raccefyn.556.,,,yes,113,2018,recorded roosting in palms,
Dermanura toltecus,1,0,buildilngs,https://doi.org/10.2307/3503992,,,yes,114,1982,,
Dermanura watsoni,0,2,NA,https://www.iucnredlist.org/species/99586593/21997358,,,yes,115,2015,,
Desmalopex leucopterus,0,0,NA,https://www.iucnredlist.org/species/18731/22081331,,,yes,116,2020,,
Desmalopex microleucopterus,NA,0,,,,,yes,NA,NA,,
Desmodus draculae,NA,0,,,,,yes,NA,NA,extinct,
Desmodus rotundus,0,388,NA,https://doi.org/10.2307/3503895,,,yes,117,1983,,
Diaemus youngi,0,13,NA,https://doi.org/10.2307/3504240,,,yes,118,1996,,
Diclidurus albus,0,0,NA,https://doi.org/10.2307/3504140,,,yes,119,1988,,
Diclidurus ingens,1,0,ceiling of house,https://www.researchgate.net/publication/43070161,,,yes,120,2009,,
Diclidurus isabellus,NA,0,,,,,yes,NA,NA,"leaving as NA, could not locate specfic roosting structure type",
Diclidurus scutatus,0,0,NA,https://www.iucnredlist.org/species/6564/21986499,,,yes,121,2016,IUCN suggests roosting under palm leaves,
Diphylla ecaudata,1,18,"mines, houses",https://doi.org/10.2307/3504022,"Norwak 1994, pg 176",,yes,"122, 1","1984, 1994",,
Dobsonia anderseni,1,0,man-made tunnels,https://www.iucnredlist.org/species/136374/22012133,"Norwak 1994, pg 60",,yes,"123, 1","2020, 1994",,
Dobsonia beauforti,0,0,NA,http://doi.org/10.5281/zenodo.6448815,"Norwak 1994, pg 60",,yes,"83, 1","2019, 1994",,
Dobsonia chapmani,0,0,NA,http://doi.org/10.5281/zenodo.6448815,"Norwak 1994, pg 60",,yes,"83, 1","2019, 1994",IUCN mentions having flexibilty in roosting and possibly the ability to be in disturbed areas,
Dobsonia crenulata,0,0,NA,http://doi.org/10.5281/zenodo.6448815,"Norwak 1994, pg 60",,yes,"83, 1","2019, 1994",,
Dobsonia emersa,0,0,NA,http://doi.org/10.5281/zenodo.6448815,"Norwak 1994, pg 60",,yes,"83, 1","2019, 1994",,
Dobsonia exoleta,0,0,NA,http://doi.org/10.5281/zenodo.6448815,"Norwak 1994, pg 60",,yes,"83, 1","2019, 1994",,
Dobsonia inermis,0,0,NA,http://doi.org/10.5281/zenodo.6448815,"Norwak 1994, pg 60",,yes,"83, 1","2019, 1994",,
Dobsonia minor,0,0,NA,http://doi.org/10.5281/zenodo.6448815,"Norwak 1994, pg 60",,yes,"83, 1","2019, 1994",,
Dobsonia moluccensis,1,2,"sinkholes, boulder piles, old mines, disused buildings",https://www.iucnredlist.org/species/84882605/22033630,,,yes,124,"2016, 1994",Kind of an odd one out,
Dobsonia pannietensis,0,0,NA,https://www.iucnredlist.org/species/6776/22034157,"Norwak 1994, pg 60",,yes,"125, 1","2020, 1994",,
Dobsonia peronii,0,0,NA,https://www.iucnredlist.org/species/6771/22034782,"Norwak 1994, pg 60",,yes,"126, 1","2019, 1994",Genus seems to have some association to being resilient to disturbance,
Dobsonia praedatrix,0,1,NA,https://www.iucnredlist.org/species/6777/22033332,"Norwak 1994, pg 60",,yes,"127, 1","2019, 1994",,
Dobsonia viridis,0,1,NA,https://www.iucnredlist.org/species/6780/22033412,"Norwak 1994, pg 60",,yes,"128, 1","2016, 1994",,
Dryadonycteris capixaba,0,0,NA,"Norwak 1994, pg 72",,,yes,1,1994,Based on genus ,
Dyacopterus brooksi,0,0,NA,"Norwak 1994, pg 72",,,yes,1,1994,"IUCN says it is rare with very little natural history info, based on genus",
Dyacopterus rickarti,0,0,NA,"Norwak 1994, pg 72",,,yes,1,1994,Based on genus ,
Dyacopterus spadiceus,0,0,NA,https://doi.org/10.1644/06-MAMM-A-276R.1,"Norwak 1994, pg 72",,yes,"129, 1","2007, 1994",found roosting in hollow trees,
Ectophylla alba,0,7,NA,https://doi.org/10.2307/3503942,,,yes,130,1982,,
Eidolon dupreanum,0,9,NA,https://www.iucnredlist.org/species/7083/22027891,,,yes,131,2020,,
Eidolon helvum,0,121,NA,Skinner and Chimimba 2005,https://doi.org/10.2307/3504095,,yes,"132, 133","2005, 1988",ADW mentions urban as a habitat feature,
Emballonura alecto,1,0,human-made tunnels,https://www.iucnredlist.org/species/7670/22135284,https://www.researchgate.net/publication/236597718,,yes,"134, 135","1998, 2021",,
Emballonura atrata,0,0,NA,https://www.iucnredlist.org/species/7671/22135427,,,yes,136,2017,,
Emballonura beccarii,0,0,NA,https://www.iucnredlist.org/species/7672/22135577,,,yes,137,2021,,
Emballonura dianae,0,0,NA,https://www.iucnredlist.org/species/7673/22134779,,,yes,138,2021,,
Emballonura furax,1,0,minning tunnels,https://www.iucnredlist.org/species/7667/22135664,,,yes,139,2021,IUCN says rare to find besides in roosts in caves and mining tunnels,
Emballonura monticola,1,1,tables and buttresses,https://www.iucnredlist.org/species/7674/22134864,,,yes,140,2021,,
Emballonura raffrayana,0,0,NA,https://www.iucnredlist.org/species/7668/22135749,,,yes,141,2021,,
Emballonura semicaudata,0,0,NA,https://dx.doi.org/10.2305/IUCN.UK.2021-1.RLTS.T7669A22135085.en,,,yes,142,2021,,
Emballonura serii,0,0,NA,https://www.iucnredlist.org/species/41528/22006371,,,yes,143,2021,,
Emballonura tiavato,0,0,NA,https://www.iucnredlist.org/species/136835/22040708,,,yes,144,2019,IUCN says can be found on buildings at night but says roosts in caves,
Enchisthenes hartii,0,2,NA,https://www.jstor.org/stable/4499085?seq=1#metadata_info_tab_contents,,,yes,145,2007,This paper classifies this bat as having a roosting under leaves or foileage ,
Eonycteris major,0,0,NA,"Norwak 1994, pg 80",,,yes,1,1994,,
Eonycteris robusta,0,0,NA,"Norwak 1994, pg 80",,,yes,1,1994,,
Eonycteris spelaea,0,30,NA,"Norwak 1994, pg 80",,,yes,1,1994,,
Epomophorus angolensis,NA,0,,,,,yes,NA,NA,"leave NA roosting ecology not well known, could not locate specific structure",
Epomophorus anselli,NA,0,,,,,yes,NA,NA,"leave NA roosting ecology not well known, could not locate specific structure, only a few specimens recorded",
Epomophorus crypturus,0,1,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,,
Epomophorus gambianus,0,14,NA,https://doi.org/10.2307/3504318,,,yes,146,1989,,
Epomophorus grandis,NA,0,,,,,yes,NA,NA,"leaving NA, roosting ecology poorly known",
Epomophorus labiatus,0,2,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,"African bat conservation.org states they roost in banana trees, also photo from Merlin Tuttle.",
Epomophorus minimus,NA,0,,,,,yes,NA,NA,"leaving NA, roosting ecology poorly known",
Epomophorus wahlbergi,1,14,Thatch of open sheds,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,,
Epomops buettikoferi,0,2,NA,"Norwak 1994, 64",,,yes,1,1994,Based off genus characteristics that they roost in trees,
Epomops dobsonii,0,0,NA,"Norwak 1994, 64",,,yes,1,1994,Based off genus characteristics that they roost in trees,
Epomops franqueti,0,12,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,,
Eptesicus andinus,NA,0,,,,,yes,NA,NA,"Habitat unknown, genus trends acording to ADW is that they do roost in human structures",
Eptesicus bobrinskoi,NA,0,,https://doi.org/10.3161/150811012X661620,,,yes,NA,NA,"leaving NA, little known and considered a subspecies of gobiensis",
Eptesicus bottae,1,2,"buildlings, tombs, and ruins",https://www.researchgate.net/publication/235993996,https://www.researchgate.net/publication/260081987,,yes,"147, 148","2006, 2007",,
Eptesicus brasiliensis,1,2,houses,https://www.iucnredlist.org/species/7916/22114459,,,yes,149,2016,,
Eptesicus chiriquinus,NA,0,,,,,yes,NA,NA,"leaving as NA, little known about ecology, sparse records",
Eptesicus diminutus,NA,4,,,,,yes,NA,NA,"leaving as NA, little known about ecology, rare species",
Eptesicus dimissus,NA,0,,,,,yes,NA,NA,"leaving as NA, little known about ecology, data deficient",
